actual_format,actual_height,actual_sha256,actual_width,annotation_exists,annotation_item_id,annotation_method,archive_member_found,archive_member_match_method,archive_member_matches_sha256,archive_member_matches_size_crc,archive_resolved_member,caption_shape_ok,csv_item_json_exact,decode_ok,dimensions_match_manifest,extracted_sha256,extracted_source_exists,file_name,filename_pattern_ok,formal_gold,format_matches_manifest,hl_annotation_row_found,hl_upstream_annotation_exact,image_exists,item_json_exists,luma_stddev,mean_luma,reference_coverage,reference_jaccard,review_issues,review_verdict,sample_id,sample_id_matches_filename,selected_matches_extracted_sha256,semantic_risk_reasons,sha256_matches_manifest,source,source_id,track
PNG,480,a367dabbcd728ffc1c4f294a9255138a3fe5bc6f0d07b6e128733c5442b509ff,640,True,F0476,dual_api_qwen_generate_glm_visual_review_non_independent,,,,,,True,True,True,True,a367dabbcd728ffc1c4f294a9255138a3fe5bc6f0d07b6e128733c5442b509ff,True,PHL1800_HL_0001.png,True,False,True,True,True,True,True,57.711,99.041,0.3056,0.0671,,accept,PHL1800_HL_0001,True,True,explicit_visual_uncertainty,True,HL Dataset,train_10878.png,positive
PNG,361,ccdecfec88f70e868e5bf9a797fc6dfbe467002da62af3b5f7b6d043268dbe31,640,True,F0870,dual_api_qwen_generate_glm_visual_review_non_independent,,,,,,True,True,True,True,ccdecfec88f70e868e5bf9a797fc6dfbe467002da62af3b5f7b6d043268dbe31,True,PHL1800_HL_0002.png,True,False,True,True,True,True,True,60.515,111.217,0.4194,0.0878,,accept,PHL1800_HL_0002,True,True,specific_OCR_claim;explicit_visual_uncertainty,True,HL Dataset,train_9063.png,positive
PNG,425,cf7153fbf40b2331c4e59e623036157df7ab6f5b0e8a3e3fd086760b5f8864f1,640,True,F1670,ai_agent_direct_visual_reannotation_after_audit_non_independent,,,,,,True,True,True,True,cf7153fbf40b2331c4e59e623036157df7ab6f5b0e8a3e3fd086760b5f8864f1,True,PHL1800_HL_0003.png,True,False,True,True,True,True,True,48.791,72.404,0.1739,0.0544,Previous fallback annotation described a different image; all semantic annotation fields were replaced after direct inspection of the mapped image.,revised_by_audit_visual_inspection,PHL1800_HL_0003,True,True,very_low_overlap_with_HL_human_captions,True,HL Dataset,train_1544.png,positive
PNG,360,f6e2f23e23805dafc55420c6c3cbdbea0af471e4ccf8edacb70334d23df17665,480,True,F1745,dual_api_qwen_generate_glm_visual_review_non_independent,,,,,,True,True,True,True,f6e2f23e23805dafc55420c6c3cbdbea0af471e4ccf8edacb70334d23df17665,True,PHL1800_HL_0004.png,True,False,True,True,True,True,True,49.37,90.18,0.4444,0.0702,,accept,PHL1800_HL_0004,True,True,explicit_visual_uncertainty,True,HL Dataset,train_12482.png,positive
PNG,427,20abc78b76d8adf58120bec69b3009511a4e1de08426f4dc900e212696ad8e3d,640,True,F0936,dual_api_qwen_generate_glm_visual_review_non_independent,,,,,,True,True,True,True,20abc78b76d8adf58120bec69b3009511a4e1de08426f4dc900e212696ad8e3d,True,PHL1800_HL_0005.png,True,False,True,True,True,True,True,52.342,134.749,0.2051,0.044,,accept,PHL1800_HL_0005,True,True,,True,HL Dataset,train_10240.png,positive
PNG,516,1a1f197970e551c7d4aa4249c8f5f29c232776b207b52f7ec49d5af8e48d85bb,640,True,F1063,dual_api_qwen_generate_glm_visual_review_non_independent,,,,,,True,True,True,True,1a1f197970e551c7d4aa4249c8f5f29c232776b207b52f7ec49d5af8e48d85bb,True,PHL1800_HL_0006.png,True,False,True,True,True,True,True,72.228,92.097,0.1622,0.0324,Post-audit fix (2026-09-08): action[2]: removed the unsupported 'moving shadows' / breeze inference from the static image.,revised_by_audit_visual_inspection,PHL1800_HL_0006,True,True,very_low_overlap_with_HL_human_captions;specific_OCR_claim,True,HL Dataset,train_9145.png,positive
PNG,427,b86407d2c0455be977a4d35f78a55aa8550609619a93b7a3584b3740730f0564,640,True,F1353,dual_api_qwen_generate_glm_visual_review_non_independent,,,,,,True,True,True,True,b86407d2c0455be977a4d35f78a55aa8550609619a93b7a3584b3740730f0564,True,PHL1800_HL_0007.png,True,False,True,True,True,True,True,53.45,138.684,0.3421,0.0674,"Incorrect count of people (24 vs actual ~15-20 visible individuals); text on billboards misreads 'TOLET' as 'TOLET' (correct is 'TOLET' but candidate's description is accurate, but phone numbers are misread: first billboard has '0333-5213006' and '051-29-3359' (correct), second billboard has '03218503555' and '03005135735' (correct) but candidate's object description of billboards is accurate; however, the main issue is the inflated people count.",revised_after_review,PHL1800_HL_0007,True,True,specific_OCR_claim;precise_count_claim;explicit_visual_uncertainty,True,HL Dataset,train_6494.png,positive
PNG,354,6d50a9eebca4590e087a8586845c11c11631e189d44cec57fa0075f6dc151f97,640,True,F0086,dual_api_qwen_generate_glm_visual_review_non_independent,,,,,,True,True,True,True,6d50a9eebca4590e087a8586845c11c11631e189d44cec57fa0075f6dc151f97,True,PHL1800_HL_0008.png,True,False,True,True,True,True,True,56.47,110.467,0.1923,0.0301,,accept,PHL1800_HL_0008,True,True,explicit_visual_uncertainty,True,HL Dataset,train_254.png,positive
PNG,387,27cda6eec17a267f608b4bc29035763a694b91fa38c71c7087104e29fb9fb610,640,True,F1405,dual_api_qwen_generate_glm_visual_review_non_independent,,,,,,True,True,True,True,27cda6eec17a267f608b4bc29035763a694b91fa38c71c7087104e29fb9fb610,True,PHL1800_HL_0009.png,True,False,True,True,True,True,True,53.993,126.59,0.2973,0.0604,Incorrect count of people (described as five but image shows five distinct individuals; no partial obscuration),revised_after_review,PHL1800_HL_0009,True,True,,True,HL Dataset,train_8558.png,positive
PNG,480,fc53a0cb9fa162c136045a78e39a6a62d70c14f1de65a427bf85420d2fe50170,640,True,F0057,dual_api_qwen_generate_glm_visual_review_non_independent,,,,,,True,True,True,True,fc53a0cb9fa162c136045a78e39a6a62d70c14f1de65a427bf85420d2fe50170,True,PHL1800_HL_0010.png,True,False,True,True,True,True,True,78.331,131.624,0.3,0.0588,,accept,PHL1800_HL_0010,True,True,,True,HL Dataset,train_2665.png,positive
PNG,562,378c3aead241bceb54d953de6398cb12fa1a93a1f592074dcc66628b09c8e1f3,640,True,F0473,dual_api_qwen_generate_glm_visual_review_non_independent,,,,,,True,True,True,True,378c3aead241bceb54d953de6398cb12fa1a93a1f592074dcc66628b09c8e1f3,True,PHL1800_HL_0011.png,True,False,True,True,True,True,True,44.156,68.086,0.3235,0.0582,,accept,PHL1800_HL_0011,True,True,explicit_visual_uncertainty,True,HL Dataset,train_2834.png,positive
PNG,612,fc481edc2094c9b6e25f68e3e91ccc55787177356d2dc537b3008bbe01f4cf14,612,True,F1637,dual_api_qwen_generate_glm_visual_review_non_independent,,,,,,True,True,True,True,fc481edc2094c9b6e25f68e3e91ccc55787177356d2dc537b3008bbe01f4cf14,True,PHL1800_HL_0012.png,True,False,True,True,True,True,True,55.457,95.002,0.1429,0.0262,,accept,PHL1800_HL_0012,True,True,very_low_overlap_with_HL_human_captions,True,HL Dataset,train_224.png,positive
PNG,427,7d4e9b1b77293db3f0bbb8b78e4f80d64e0b8ee6b0c1c2e4df968d2eb25eb8fa,640,True,F0058,dual_api_qwen_generate_glm_visual_review_non_independent,,,,,,True,True,True,True,7d4e9b1b77293db3f0bbb8b78e4f80d64e0b8ee6b0c1c2e4df968d2eb25eb8fa,True,PHL1800_HL_0013.png,True,False,True,True,True,True,True,58.725,102.36,0.2222,0.073,,accept,PHL1800_HL_0013,True,True,,True,HL Dataset,train_3617.png,positive
PNG,640,06c91f6a5e47cdf6f4d1160942b3cff25d6ef794e5e1e9c96a1831121db3c852,423,True,F0019,dual_api_qwen_generate_glm_visual_review_non_independent,,,,,,True,True,True,True,06c91f6a5e47cdf6f4d1160942b3cff25d6ef794e5e1e9c96a1831121db3c852,True,PHL1800_HL_0014.png,True,False,True,True,True,True,True,58.921,153.76,0.2432,0.0566,The candidate incorrectly describes a single person; the image shows two people sharing one umbrella. The 'object' caption's description of the left-side building's window frames as green is inaccurate (they appear to be blue or teal). The 'action' caption's claim of 'a single person' is a hallucination.,revised_after_review,PHL1800_HL_0014,True,True,explicit_visual_uncertainty,True,HL Dataset,train_4733.png,positive
PNG,480,c0c87b17027ed2e2c57a951663b829e910f959a239c1c9c16d6ed97a9f47a2d0,640,True,F0450,dual_api_qwen_generate_glm_visual_review_non_independent,,,,,,True,True,True,True,c0c87b17027ed2e2c57a951663b829e910f959a239c1c9c16d6ed97a9f47a2d0,True,PHL1800_HL_0015.png,True,False,True,True,True,True,True,37.902,129.637,0.2439,0.0667,,accept,PHL1800_HL_0015,True,True,,True,HL Dataset,train_6399.png,positive
PNG,640,7597ed32a706127ad10cdcb7e822aec41ee0130167f3d80e0cec63087876979c,458,True,F0249,dual_api_qwen_generate_glm_visual_review_non_independent,,,,,,True,True,True,True,7597ed32a706127ad10cdcb7e822aec41ee0130167f3d80e0cec63087876979c,True,PHL1800_HL_0016.png,True,False,True,True,True,True,True,52.047,120.377,0.4231,0.0679,,accept,PHL1800_HL_0016,True,True,specific_OCR_claim;explicit_visual_uncertainty,True,HL Dataset,train_6210.png,positive
