concept_id,philosophical_concept,macro_dimension,subdomain,tradition_school,visual_inferability,temporal_requirement,ontology_status,evidence_tier,exclusion_reason,reachable_via_axes,reachable_image_count,reachable_interpretation_count,symbolic_keywords,visual_evidence_patterns,grounding_rule
PHC-440,Recognition (Hegel),Axiology,"Justice, Rights & Equality",Communitarianism,symbol_mediated,snapshot,candidate,A_core_recommended,,social_existence,1619,1961,Being seen; mutual confirmation,Mutual gaze; mirror confirmation; eye-contact during handshake; nod of acknowledgment,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.
PHC-364,Bad Faith / Self-Deception (Sartre),Axiology,Moral Psychology & Philosophy of Life,Existentialism,symbol_mediated,snapshot,candidate,A_core_recommended,,identity_appearance,1475,1581,Self-deception; fleeing freedom; cowardly reliance on others,"Hand covering eyes with fingers apart; actor in costume saying ""I'm just a spectator""; unopened letter trembling in hand; masked dancer forgetting their own face; repeating ""I have no choice"" while knowing otherwise",Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.
PHC-417,Negative Liberty (Berlin),Axiology,Political Philosophy & Authority,Liberalism,symbol_mediated,snapshot,candidate,A_core_recommended,,freedom_constraint,1331,1355,Freedom from interference; unobstructed,Clear road; removed fences; open doors; unlocked passage,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.
PHC-418,Positive Liberty (Berlin),Axiology,Political Philosophy & Authority,Liberalism,symbol_mediated,snapshot,candidate,A_core_recommended,,freedom_constraint,1331,1355,Capacity for self-realisation; empowerment,Lit bulb; filled tank; spread wings; provided tools,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.
PHC-483,Coercion (Hobbes),Axiology,Political Economy & Critical Theory,Critical Theory,symbol_mediated,snapshot,candidate,A_core_recommended,,freedom_constraint,1331,1355,Forced obedience; external pressure,Steps pushed forward; bound rope; choice under gun; twisted arm,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.
PHC-114,Free Will (Augustine),Ontology,"Mind, Self & Agency",Analytic Philosophy,symbol_mediated,snapshot,candidate,A_core_recommended,,choice_journey,1125,1149,Self-determination; non-coerced will,Turning at crossroads; loosened reins; button self-pressed; freely moving brush,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.
PHC-055,Death (Plato),Ontology,Identity & Persistence,Analytic Philosophy,symbol_mediated,snapshot,candidate,A_core_recommended,,time_mortality,1020,1048,Termination; boundary; limit of life,Extinguished candle; sunset's last moment; closing book; flatlining ECG,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.
PHC-066,Being-toward-Death (Heidegger),Ontology,Identity & Persistence,Phenomenology,symbol_mediated,snapshot,candidate,A_core_recommended,,time_mortality,1020,1048,Existing toward end; awakening to finitude,Sandglass running out; sunset afterglow; candle burning low; countdown clock,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.
PHC-080,Time (Aristotle),Ontology,"Time, Space & Change",Ancient Greek Philosophy,symbol_mediated,snapshot,candidate,A_core_recommended,,time_mortality,1020,1048,Flow; sequence; irreversibility,Hourglass sand; pendulum swing; rushing river; calendar leaf turning,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.
PHC-192,"Truth (James, Dewey)",Epistemology,Knowledge & Truth,Pragmatism,symbol_mediated,snapshot,candidate,A_core_recommended,,knowledge_truth,948,1005,Consensus; convergence; ideal endpoint,Tributaries to same sea; signs pointing to same city; beams converging on one point; paths meeting at summit; opinions converging to consensus,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.
PHC-481,Authority (Weber),Axiology,Political Economy & Critical Theory,Critical Theory,symbol_mediated,snapshot,candidate,A_core_recommended,,power_conflict,627,643,Legitimated domination; rightful command,Baton's wave; obeyed command; worn sceptre; submissive posture,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.
PHC-490,Philosophy of War,Axiology,Political Economy & Critical Theory,Critical Theory,symbol_mediated,snapshot,candidate,A_core_recommended,,power_conflict,627,643,Violent conflict; continuation of politics,Clashing swords; burning battlefield; opposing armies; torn peace-flag,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.
PHC-498,Domination (Marx),Axiology,Political Economy & Critical Theory,Marxism,symbol_mediated,snapshot,candidate,A_core_recommended,,power_conflict,627,643,Power oppression; unequal control,Overlooking hand; bent back; hanging rein of domination; overlooking pyramid of power,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.
PHC-477,Exploitation (Marx),Axiology,Political Economy & Critical Theory,Applied Ethics,symbol_mediated,snapshot,candidate,A_core_recommended,,labor_technology,541,555,Unequal extraction; one-sided gain,Drained well; one-sided press; unbalanced scales; labour-extracting gear,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.
