Concept ID,Macro Dimension,Subdomain,Tradition / School,Philosophical Concept,Symbolic Keywords,Visual Evidence Patterns,Visual Inferability,Temporal Requirement,Grounding Rule,Maslow Relevance (Auxiliary),SEP Relationship,SEP Entry,SEP URL,Source Accessed,Ontology Status
PHC-001,Ontology,Being & Existence,Arabic Philosophy,Essence and Existence (Avicenna / Ibn Sīnā),Existence precedes essence (in a sense); necessary vs contingent,Blueprint and building; script and performed play; seed and grown tree; design and object,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,related,Stanford Encyclopedia of Philosophy: Ibn Sina: metaphysics,https://plato.stanford.edu/entries/ibn-sina-metaphysics/,2026-09-09,candidate
PHC-002,Ontology,Being & Existence,Buddhist Philosophy,Dependent Origination / Pratītyasamutpāda (Buddha),Conditioned co-arising; mutual dependence; non-independence,Domino chain; spiderweb nodes; gear linkage; inter-knotted rope,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,thinker_or_tradition,Stanford Encyclopedia of Philosophy: Buddha,https://plato.stanford.edu/entries/buddha/,2026-09-09,ontology_only
PHC-003,Ontology,Being & Existence,Buddhist Philosophy,Emptiness / Śūnyatā (Nāgārjuna),No self-nature; dependent origination; non-substantiality,Rainbow's illusory colour; mirror-flower-moon; bursting bubble; shadow without substance,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,related,Stanford Encyclopedia of Philosophy: Nāgārjuna,https://plato.stanford.edu/entries/nagarjuna/,2026-09-09,candidate
PHC-004,Ontology,Being & Existence,Buddhist Philosophy,Nirvāṇa (Buddha),Extinction; transcendence of saṃsāra; ultimate peace,Extinguished candle; still lake-surface; dispersed mist; silent bell-tone,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,thinker_or_tradition,Stanford Encyclopedia of Philosophy: Buddha,https://plato.stanford.edu/entries/buddha/,2026-09-09,ontology_only
PHC-005,Ontology,Being & Existence,Buddhist Philosophy,Saṃsāra (Buddha),Cyclic wandering; birth-death cycle; karmic driving,Turning wheel; seasonal cycle; evaporation-rain cycle; meshed gear-loop,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,thinker_or_tradition,Stanford Encyclopedia of Philosophy: Buddha,https://plato.stanford.edu/entries/buddha/,2026-09-09,ontology_only
PHC-006,Ontology,Being & Existence,Chinese Philosophy,Dao / Way (Laozi),Formless source; self-so; ineffable,Ink-washed blank space; formless wind; water flowing around stone; mist-veiled valley,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,related,Stanford Encyclopedia of Philosophy: Laozi,https://plato.stanford.edu/entries/laozi/,2026-09-09,candidate
PHC-007,Ontology,Being & Existence,Chinese Philosophy,Non-being / Wu (Laozi),Void; formless-nameless; origin of myriad things,Blank canvas; unpainted rice-paper; silent darkness; empty vessel,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,related,Stanford Encyclopedia of Philosophy: metaphysics,https://plato.stanford.edu/entries/chinese-metaphysics/,2026-09-09,candidate
PHC-008,Ontology,Being & Existence,Existentialism,Existence Precedes Essence (Sartre),Existing before defining; no preset nature,Wrinkled newborn; formless clay; blank CV; empty script page; opened notebook,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,related,"Stanford Encyclopedia of Philosophy: Sartre, Jean-Paul",https://plato.stanford.edu/entries/sartre/,2026-09-09,candidate
PHC-009,Ontology,Being & Existence,Phenomenology,"Being (Parmenides, Heidegger)",Presence; truth; ground; ultimate reality,Inextinguishable flame; constant starry sky; unchangeable horizon; solid bedrock,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,related,Stanford Encyclopedia of Philosophy: existence,https://plato.stanford.edu/entries/existence/,2026-09-09,candidate
PHC-010,Ontology,Being & Existence,Phenomenology,Being-in-the-World (Heidegger),Thrownness; situatedness; entangled with world,Chess piece on board; pedestrian in rain; traveller in fog; thread in fabric,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,related,"Stanford Encyclopedia of Philosophy: Heidegger, Martin",https://plato.stanford.edu/entries/heidegger/,2026-09-09,candidate
PHC-011,Ontology,Being & Existence,Phenomenology,Ekstasis (Heidegger),Beyond-itself; outward projection; leaving enclosure,Flame spreading outward; light piercing dark; seed bursting shell; vine out the window,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,thinker_or_tradition,"Stanford Encyclopedia of Philosophy: Heidegger, Martin",https://plato.stanford.edu/entries/heidegger/,2026-09-09,ontology_only
PHC-012,Ontology,Being & Existence,Phenomenology,Readiness-to-Hand (Heidegger),Serviceable; tool-like; background-embedded,Well-fitted hammer; familiar doorknob; habitual keyboard; fitting shoes,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,related,"Stanford Encyclopedia of Philosophy: Heidegger, Martin",https://plato.stanford.edu/entries/heidegger/,2026-09-09,candidate
PHC-013,Ontology,"Objects, Properties & Categories",Analytic Philosophy,Abstract Objects (Frege),Non-spatiotemporal; logical reality; mind-independent,Floating number-symbols; pure geometric figures; formula-projections in air; intangible logical grid,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,direct,Stanford Encyclopedia of Philosophy: abstract objects,https://plato.stanford.edu/entries/abstract-objects/,2026-09-09,candidate
PHC-014,Ontology,"Objects, Properties & Categories",Analytic Philosophy,Artefacts (Simon),Human design; function-ascription,Factory-line products; hand-made tools; architectural plans realised; compiled software,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,self_actualization,direct,Stanford Encyclopedia of Philosophy: artifact,https://plato.stanford.edu/entries/artifact/,2026-09-09,candidate
PHC-015,Ontology,"Objects, Properties & Categories",Analytic Philosophy,Category Mistake (Ryle),Category-confusion; misplaced classification,Calling colour a weight; measuring temperature with a ruler; mistaking university for one building; mis-labelling,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,direct,Stanford Encyclopedia of Philosophy: category mistakes,https://plato.stanford.edu/entries/category-mistakes/,2026-09-09,candidate
PHC-016,Ontology,"Objects, Properties & Categories",Analytic Philosophy,Colour (Locke),Perceptual quality; subjective appearance,Rainbow spectrum; palette pigments; dye-shades; neon-light colours,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,direct,Stanford Encyclopedia of Philosophy: color,https://plato.stanford.edu/entries/color/,2026-09-09,candidate
PHC-017,Ontology,"Objects, Properties & Categories",Analytic Philosophy,Concepts (Frege),Abstract grasp; units of thought,Classification labels; mind-map nodes; dictionary entries; pattern-diagrams,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,direct,Stanford Encyclopedia of Philosophy: concepts,https://plato.stanford.edu/entries/concepts/,2026-09-09,candidate
PHC-018,Ontology,"Objects, Properties & Categories",Analytic Philosophy,Determinables and Determinates,Determinate and determinable; range and instance,Colour-class and specific red; shape-class and specific circle; species and individual; template and fill-in,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,related,Stanford Encyclopedia of Philosophy: determinates and determinables,https://plato.stanford.edu/entries/determinate-determinables/,2026-09-09,candidate
PHC-019,Ontology,"Objects, Properties & Categories",Analytic Philosophy,Facts (Wittgenstein),Established states; world-constituents; truth-bearers,Already-placed puzzle piece; frozen snapshot; signed document; settled scene,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,direct,Stanford Encyclopedia of Philosophy: facts,https://plato.stanford.edu/entries/facts/,2026-09-09,candidate
PHC-020,Ontology,"Objects, Properties & Categories",Analytic Philosophy,Fictional Entities,Imaginative products; artistic fictions,Novel-character portraits; film-creature effects; stage-set illusions; animation characters,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,direct,Stanford Encyclopedia of Philosophy: fictional entities,https://plato.stanford.edu/entries/fictional-entities/,2026-09-09,candidate
