blind_id,sample_id,selected_path,source,track
F0001,PHL1800_HAIV_0475,final_selection_1800/images/haivmet/PHL1800_HAIV_0475.png,HAIVMet,positive
F0002,PHL1800_HAIV_0544,final_selection_1800/images/haivmet/PHL1800_HAIV_0544.png,HAIVMet,positive
F0003,PHL1800_HL_0446,final_selection_1800/images/hl/PHL1800_HL_0446.png,HL Dataset,positive
F0004,PHL1800_HAIV_0084,final_selection_1800/images/haivmet/PHL1800_HAIV_0084.png,HAIVMet,positive
F0005,PHL1800_HL_0462,final_selection_1800/images/hl/PHL1800_HL_0462.png,HL Dataset,positive
F0006,PHL1800_HL_0567,final_selection_1800/images/hl/PHL1800_HL_0567.png,HL Dataset,boundary
F0007,PHL1800_HL_0235,final_selection_1800/images/hl/PHL1800_HL_0235.png,HL Dataset,positive
F0008,PHL1800_HL_0505,final_selection_1800/images/hl/PHL1800_HL_0505.png,HL Dataset,boundary
F0009,PHL1800_HAIV_0420,final_selection_1800/images/haivmet/PHL1800_HAIV_0420.png,HAIVMet,positive
F0010,PHL1800_HL_0417,final_selection_1800/images/hl/PHL1800_HL_0417.png,HL Dataset,positive
F0011,PHL1800_HL_0416,final_selection_1800/images/hl/PHL1800_HL_0416.png,HL Dataset,positive
F0012,PHL1800_HL_0343,final_selection_1800/images/hl/PHL1800_HL_0343.png,HL Dataset,positive
F0013,PHL1800_HL_0335,final_selection_1800/images/hl/PHL1800_HL_0335.png,HL Dataset,positive
F0014,PHL1800_HL_0360,final_selection_1800/images/hl/PHL1800_HL_0360.png,HL Dataset,positive
F0015,PHL1800_HL_0438,final_selection_1800/images/hl/PHL1800_HL_0438.png,HL Dataset,positive
F0016,PHL1800_HL_0468,final_selection_1800/images/hl/PHL1800_HL_0468.png,HL Dataset,positive
F0017,PHL1800_HL_0563,final_selection_1800/images/hl/PHL1800_HL_0563.png,HL Dataset,boundary
F0018,PHL1800_IRFL_0268,final_selection_1800/images/irfl/PHL1800_IRFL_0268.jpg,IRFL,positive
F0019,PHL1800_HL_0014,final_selection_1800/images/hl/PHL1800_HL_0014.png,HL Dataset,positive
F0020,PHL1800_HL_0403,final_selection_1800/images/hl/PHL1800_HL_0403.png,HL Dataset,positive
F0021,PHL1800_HL_0346,final_selection_1800/images/hl/PHL1800_HL_0346.png,HL Dataset,positive
F0022,PHL1800_MM_0060,final_selection_1800/images/mm_moral/PHL1800_MM_0060.jpg,MM-MoralBench,positive
F0023,PHL1800_HAIV_0057,final_selection_1800/images/haivmet/PHL1800_HAIV_0057.png,HAIVMet,positive
F0024,PHL1800_HL_0019,final_selection_1800/images/hl/PHL1800_HL_0019.png,HL Dataset,positive
F0025,PHL1800_IRFL_0488,final_selection_1800/images/irfl/PHL1800_IRFL_0488.jpg,IRFL,boundary
F0026,PHL1800_HAIV_0536,final_selection_1800/images/haivmet/PHL1800_HAIV_0536.png,HAIVMet,positive
F0027,PHL1800_HAIV_0242,final_selection_1800/images/haivmet/PHL1800_HAIV_0242.png,HAIVMet,positive
F0028,PHL1800_MM_0113,final_selection_1800/images/mm_moral/PHL1800_MM_0113.jpg,MM-MoralBench,positive
F0029,PHL1800_IRFL_0441,final_selection_1800/images/irfl/PHL1800_IRFL_0441.jpg,IRFL,boundary
F0030,PHL1800_IRFL_0450,final_selection_1800/images/irfl/PHL1800_IRFL_0450.jpg,IRFL,boundary
F0031,PHL1800_HL_0539,final_selection_1800/images/hl/PHL1800_HL_0539.png,HL Dataset,boundary
F0032,PHL1800_HAIV_0397,final_selection_1800/images/haivmet/PHL1800_HAIV_0397.png,HAIVMet,positive
F0033,PHL1800_IRFL_0346,final_selection_1800/images/irfl/PHL1800_IRFL_0346.jpg,IRFL,positive
F0034,PHL1800_HL_0363,final_selection_1800/images/hl/PHL1800_HL_0363.png,HL Dataset,positive
F0035,PHL1800_IRFL_0244,final_selection_1800/images/irfl/PHL1800_IRFL_0244.jpg,IRFL,positive
F0036,PHL1800_HAIV_0038,final_selection_1800/images/haivmet/PHL1800_HAIV_0038.png,HAIVMet,positive
F0037,PHL1800_HL_0443,final_selection_1800/images/hl/PHL1800_HL_0443.png,HL Dataset,positive
F0038,PHL1800_IRFL_0203,final_selection_1800/images/irfl/PHL1800_IRFL_0203.jpg,IRFL,positive
F0039,PHL1800_HL_0196,final_selection_1800/images/hl/PHL1800_HL_0196.png,HL Dataset,positive
F0040,PHL1800_HL_0373,final_selection_1800/images/hl/PHL1800_HL_0373.png,HL Dataset,positive
F0041,PHL1800_IRFL_0074,final_selection_1800/images/irfl/PHL1800_IRFL_0074.jpg,IRFL,positive
F0042,PHL1800_HAIV_0511,final_selection_1800/images/haivmet/PHL1800_HAIV_0511.png,HAIVMet,positive
F0043,PHL1800_HAIV_0128,final_selection_1800/images/haivmet/PHL1800_HAIV_0128.png,HAIVMet,positive
F0044,PHL1800_HAIV_0110,final_selection_1800/images/haivmet/PHL1800_HAIV_0110.png,HAIVMet,positive
F0045,PHL1800_IRFL_0306,final_selection_1800/images/irfl/PHL1800_IRFL_0306.jpg,IRFL,positive
F0046,PHL1800_IRFL_0333,final_selection_1800/images/irfl/PHL1800_IRFL_0333.jpg,IRFL,positive
F0047,PHL1800_HAIV_0102,final_selection_1800/images/haivmet/PHL1800_HAIV_0102.png,HAIVMet,positive
F0048,PHL1800_HL_0537,final_selection_1800/images/hl/PHL1800_HL_0537.png,HL Dataset,boundary
F0049,PHL1800_HAIV_0007,final_selection_1800/images/haivmet/PHL1800_HAIV_0007.png,HAIVMet,positive
F0050,PHL1800_HAIV_0248,final_selection_1800/images/haivmet/PHL1800_HAIV_0248.png,HAIVMet,positive
F0051,PHL1800_IRFL_0362,final_selection_1800/images/irfl/PHL1800_IRFL_0362.jpg,IRFL,positive
F0052,PHL1800_HAIV_0138,final_selection_1800/images/haivmet/PHL1800_HAIV_0138.png,HAIVMet,positive
F0053,PHL1800_IRFL_0388,final_selection_1800/images/irfl/PHL1800_IRFL_0388.jpg,IRFL,positive
F0054,PHL1800_IRFL_0412,final_selection_1800/images/irfl/PHL1800_IRFL_0412.jpg,IRFL,positive
F0055,PHL1800_IRFL_0486,final_selection_1800/images/irfl/PHL1800_IRFL_0486.jpg,IRFL,boundary
F0056,PHL1800_HL_0048,final_selection_1800/images/hl/PHL1800_HL_0048.png,HL Dataset,positive
F0057,PHL1800_HL_0010,final_selection_1800/images/hl/PHL1800_HL_0010.png,HL Dataset,positive
F0058,PHL1800_HL_0013,final_selection_1800/images/hl/PHL1800_HL_0013.png,HL Dataset,positive
F0059,PHL1800_MM_0004,final_selection_1800/images/mm_moral/PHL1800_MM_0004.jpg,MM-MoralBench,positive
F0060,PHL1800_IRFL_0161,final_selection_1800/images/irfl/PHL1800_IRFL_0161.jpg,IRFL,positive
F0061,PHL1800_HL_0164,final_selection_1800/images/hl/PHL1800_HL_0164.png,HL Dataset,positive
F0062,PHL1800_IRFL_0196,final_selection_1800/images/irfl/PHL1800_IRFL_0196.jpg,IRFL,positive
F0063,PHL1800_IRFL_0309,final_selection_1800/images/irfl/PHL1800_IRFL_0309.jpg,IRFL,positive
F0064,PHL1800_HL_0572,final_selection_1800/images/hl/PHL1800_HL_0572.png,HL Dataset,boundary
F0065,PHL1800_IRFL_0018,final_selection_1800/images/irfl/PHL1800_IRFL_0018.jpg,IRFL,positive
F0066,PHL1800_HL_0060,final_selection_1800/images/hl/PHL1800_HL_0060.png,HL Dataset,positive
F0067,PHL1800_HL_0453,final_selection_1800/images/hl/PHL1800_HL_0453.png,HL Dataset,positive
F0068,PHL1800_HL_0596,final_selection_1800/images/hl/PHL1800_HL_0596.png,HL Dataset,boundary
F0069,PHL1800_MM_0052,final_selection_1800/images/mm_moral/PHL1800_MM_0052.jpg,MM-MoralBench,positive
F0070,PHL1800_HAIV_0496,final_selection_1800/images/haivmet/PHL1800_HAIV_0496.png,HAIVMet,positive
F0071,PHL1800_HL_0017,final_selection_1800/images/hl/PHL1800_HL_0017.png,HL Dataset,positive
