sample_id,annotation_item_id,file_name,source,track,review_verdict,review_issues,annotation_method,formal_gold
PHL1800_HL_0003,F1670,PHL1800_HL_0003.png,HL Dataset,positive,revised_by_audit_visual_inspection,Previous fallback annotation described a different image; all semantic annotation fields were replaced after direct inspection of the mapped image.,ai_agent_direct_visual_reannotation_after_audit_non_independent,False
PHL1800_HL_0007,F1353,PHL1800_HL_0007.png,HL Dataset,positive,revise,"Incorrect count of people (24 vs actual ~15-20 visible individuals); text on billboards misreads 'TOLET' as 'TOLET' (correct is 'TOLET' but candidate's description is accurate, but phone numbers are misread: first billboard has '0333-5213006' and '051-29-3359' (correct), second billboard has '03218503555' and '03005135735' (correct) but candidate's object description of billboards is accurate; however, the main issue is the inflated people count.",dual_api_qwen_generate_glm_visual_review_non_independent,False
PHL1800_HL_0009,F1405,PHL1800_HL_0009.png,HL Dataset,positive,revise,Incorrect count of people (described as five but image shows five distinct individuals; no partial obscuration),dual_api_qwen_generate_glm_visual_review_non_independent,False
PHL1800_HL_0014,F0019,PHL1800_HL_0014.png,HL Dataset,positive,revise,The candidate incorrectly describes a single person; the image shows two people sharing one umbrella. The 'object' caption's description of the left-side building's window frames as green is inaccurate (they appear to be blue or teal). The 'action' caption's claim of 'a single person' is a hallucination.,dual_api_qwen_generate_glm_visual_review_non_independent,False
PHL1800_HL_0019,F0024,PHL1800_HL_0019.png,HL Dataset,positive,revise,"Incorrect count of people (21 vs. actual ~15-20 visible individuals); sign text misread ('ATW... DISMANTLE POLICE STATE' is not legible, only 'PHOTO' is visible); 'blue-and-white umbrella' is a blue umbrella with white pattern, not blue-and-white; 'large white sheet of paper' is a document, not necessarily large; 'speaking or gesturing' is unsupported as intent is not knowable.",dual_api_qwen_generate_glm_visual_review_non_independent,False
PHL1800_HL_0020,F0784,PHL1800_HL_0020.png,HL Dataset,positive,revise,Candidate incorrectly states the person is 'feet bare and crossed at the ankles' when they are wearing white socks; the cat is described as 'curled' but is lying stretched out; the laptop is described as 'silver' but appears to be a darker color (likely black or dark gray); the tissue is described as 'held loosely in the person’s right hand' but is held near the face with the left hand visible; the headboard is described as 'woven wicker' but appears to be a different material (possibly rattan or another woven style),dual_api_qwen_generate_glm_visual_review_non_independent,False
PHL1800_HL_0022,F1202,PHL1800_HL_0022.png,HL Dataset,positive,revise,Incorrect count of soldiers: candidate states 'eight visible soldiers' but image shows at least 10 distinct individuals; 'five open-top freight wagons' is inaccurate as the train extends beyond visible wagons; 'one sleeper is propped vertically against a wagon wheel' is not visible in the image.,dual_api_qwen_generate_glm_visual_review_non_independent,False
PHL1800_HL_0025,F1281,PHL1800_HL_0025.png,HL Dataset,positive,revise,"Incorrect count of human figures: candidate claims nine, but visual inspection shows fewer distinct individuals; revise to accurate count.",dual_api_qwen_generate_glm_visual_review_non_independent,False
PHL1800_HL_0027,F1789,PHL1800_HL_0027.png,HL Dataset,positive,revise,"Incorrect count of people: candidate claims three people (one holding camera, one in tie, one blurred foreground), but image shows two people (one reflected holding camera, one foreground blurred) with a third partial reflection (arm/tie) that is not a full person.",dual_api_qwen_generate_glm_visual_review_non_independent,False
PHL1800_HL_0031,F0247,PHL1800_HL_0031.png,HL Dataset,positive,revise,"The count of pedestrians is overstated; the image shows fewer than 12 individuals, and their clustering description is inaccurate.",dual_api_qwen_generate_glm_visual_review_non_independent,False
