sample_id,source,track,philosophical_axis,source_id,group_id,upstream_category,upstream_figurative_type,upstream_phrase,upstream_foundation,upstream_label,upstream_annotation,source_url,original_container,original_member,selected_path,sha256,dhash,width,height,format,bytes,entropy,contrast,edge_strength,quality_score,semantic_score,keyword_hits,selection_reason,text_dependency,is_synthetic,rights_status,prior_pilot_sample_id,review_status
PHL1800_HL_0001,HL Dataset,positive,ethics_responsibility,train_10878.png,HL:train_10878.png,,,,,pilot_AI_preselection,on a highway；the picture in taken on a highway in us.；in a road || police car has pulled over a speeder.；he is travelling  in car  to his in-laws place.；they are driving cars || the police are controlling speeders.；he is going to see his wife who is at her mothers house.；they are going to work || A group of three police cars driving in formation.； A FREEWAY WITH MANY CARS AND POLICE CARS ON IT；Several police officers driving down the road with their lights on.；Several vehicles including police cars traveling under an overpass.；three police cars with their lights on and a black car,,hl_dataset_export/train_images,train_10878.png,final_selection_1800/images/hl/PHL1800_HL_0001.png,a367dabbcd728ffc1c4f294a9255138a3fe5bc6f0d07b6e128733c5442b509ff,c0e0f0f050e3e66a,640,480,PNG,466386,7.4543,59.1592,11.8577,16.9088,100.0,free|law|police|road|travel|work,retained_after_visual_and_file_audit_from_existing_100_image_pilot,none_or_low,false,source_dataset_terms_review_required,PILOT_HL_0001,AI_audited_selected_pending_two_independent_human_reviews
PHL1800_HL_0002,HL Dataset,positive,time_mortality,train_9063.png,HL:train_9063.png,,,,,pilot_AI_preselection,inside a house.；the picture is taken inside a workshop.；this picture was taken from some office. || he is showing his watch.；the man is showing his clock.；a man was showing the time clock. || to show what time it is.；he wants to show off the clock he just repaired himself.；he was in some work. || A man holds a clock at his torso in an art room.；A man stands beside a table while showing his clock.；A person with a clock in his hands.；A man holding up a small wooden clock.；Man holding clock in room with paint and crafts,,hl_dataset_export/train_images,train_9063.png,final_selection_1800/images/hl/PHL1800_HL_0002.png,ccdecfec88f70e868e5bf9a797fc6dfbe467002da62af3b5f7b6d043268dbe31,cccdd6e7ef6e6e46,640,361,PNG,438231,7.7475,63.7753,20.7773,17.6441,100.0,clock|self|time|watch|work,retained_after_visual_and_file_audit_from_existing_100_image_pilot,none_or_low,false,source_dataset_terms_review_required,PILOT_HL_0002,AI_audited_selected_pending_two_independent_human_reviews
PHL1800_HL_0003,HL Dataset,positive,social_existence,train_1544.png,HL:train_1544.png,,,,,pilot_AI_preselection,"at home on the couch for family night.；the picture is taken in a house；in the living room. || the three ladies are watching a video on the computer, the guy is listening to music on his headphones.；they have come together to enjoy the evening；they are sitting on the sofa. || they are enjoying some family time and togetherness.；they haven't met for a long time；they are on lockdown at home. || Four women on a coach in various outfits；A row of women sit on a couch with one using a notebook computer.；Four people sitting on a couch in front of a picture.；there are four woman that are sitting on the same couch；a number of people sitting on a couch with a laptop",,hl_dataset_export/train_images,train_1544.png,final_selection_1800/images/hl/PHL1800_HL_0003.png,cf7153fbf40b2331c4e59e623036157df7ab6f5b0e8a3e3fd086760b5f8864f1,9092d2e4b4bca6a4,640,425,PNG,434251,7.3425,51.9299,17.7593,16.7675,100.0,book|computer|family|time|together|watch,retained_after_visual_and_file_audit_from_existing_100_image_pilot,none_or_low,false,source_dataset_terms_review_required,PILOT_HL_0003,AI_audited_selected_pending_two_independent_human_reviews
PHL1800_HL_0004,HL Dataset,positive,faith_meaning,train_12482.png,HL:train_12482.png,,,,,pilot_AI_preselection,on a public road；bear crossing the street；on a highway || the bear is on the street；bus coming towards the bus；the bear is crossing the street || the bear is crossing to the other side；yellow sign right there in front；the bear smelled food across the road || A brown bear walking across a street in front of a bus.；A bear crossing a road as a bus is travelling towards it. ；A black bear crossing a road as a bus draws near.；A black bear crosses the road in front of a bus.；A black bear walking across the street while a bus comes down the road. ,,hl_dataset_export/train_images,train_12482.png,final_selection_1800/images/hl/PHL1800_HL_0004.png,f6e2f23e23805dafc55420c6c3cbdbea0af471e4ccf8edacb70334d23df17665,95846164263d1e4f,480,360,PNG,276947,6.7153,50.3454,10.5882,15.5288,100.0,cross|road|travel|war,retained_after_visual_and_file_audit_from_existing_100_image_pilot,none_or_low,false,source_dataset_terms_review_required,PILOT_HL_0004,AI_audited_selected_pending_two_independent_human_reviews
PHL1800_HL_0005,HL Dataset,positive,social_existence,train_10240.png,HL:train_10240.png,,,,,pilot_AI_preselection,the person is taken on the road；in a gloomy european city；this pic was taken in a town square. || they are walking in the rains；walking to the port to have a look around；two people are walking in the rain. || they are proceeding towards the town；they are off of school and work and want to get out of the house.；to capture a family moment. || a couple of people that are walking next to each other；Adult and child walking on a brick road in the rain.；A woman and child walking in city with rain；A woman with an umbrella and a child wearing a green jacket；Two people who are walking together in the rain.,,hl_dataset_export/train_images,train_10240.png,final_selection_1800/images/hl/PHL1800_HL_0005.png,20abc78b76d8adf58120bec69b3009511a4e1de08426f4dc900e212696ad8e3d,e0fce0622c383030,640,427,PNG,454384,7.1279,53.9128,15.6656,16.6027,100.0,child|family|road|school|together|war|work,retained_after_visual_and_file_audit_from_existing_100_image_pilot,none_or_low,false,source_dataset_terms_review_required,PILOT_HL_0005,AI_audited_selected_pending_two_independent_human_reviews
PHL1800_HL_0006,HL Dataset,positive,time_mortality,train_9145.png,HL:train_9145.png,,,,,pilot_AI_preselection,in a touristic place；in a park.；the picture is shot in front of a giant clock || he's watching the exotic watch；he's looking at a watch.；he is watching the clock with astonishment || because he had his interest piqued by the watch；he wants to know what time it is.；he appreciates such clocks on road corners || A man is looking at an outdoor clock.；a boy looking at a clock in the middle of a yard. ；A man standing in front of a clock under a tree.；A man looking at a clock that is in trees ；A young man is looking at a large clock to check the time,,hl_dataset_export/train_images,train_9145.png,final_selection_1800/images/hl/PHL1800_HL_0006.png,1a1f197970e551c7d4aa4249c8f5f29c232776b207b52f7ec49d5af8e48d85bb,c519183228119353,640,516,PNG,731045,7.6283,77.1749,32.4175,19.5269,100.0,clock|road|time|watch,retained_after_visual_and_file_audit_from_existing_100_image_pilot,none_or_low,false,source_dataset_terms_review_required,PILOT_HL_0006,AI_audited_selected_pending_two_independent_human_reviews
PHL1800_HL_0007,HL Dataset,positive,labor_technology,train_6494.png,HL:train_6494.png,,,,,pilot_AI_preselection,"the picture is taken by a roadside；at a foot path；at a construction site. || a person is standing and reading a paper；he is standing；he is watching the work. || he wants to protect the area；he is waiting for a bus；he is the foreman of the construction site. || Two lots with debris and and people standing around. ；There is a lot if trash that is in the parking lot；A man standing next to a billboard opposite a market；A busy site with many cars, people, and mess.；Road signs line the street as cars and people stand nearby.",,hl_dataset_export/train_images,train_6494.png,final_selection_1800/images/hl/PHL1800_HL_0007.png,b86407d2c0455be977a4d35f78a55aa8550609619a93b7a3584b3740730f0564,cc3333459a2a7446,640,427,PNG,499876,7.088,56.7921,21.5266,17.2311,100.0,construction|path|protect|read|road|watch|work,retained_after_visual_and_file_audit_from_existing_100_image_pilot,none_or_low,false,source_dataset_terms_review_required,PILOT_HL_0007,AI_audited_selected_pending_two_independent_human_reviews
PHL1800_HL_0008,HL Dataset,positive,knowledge_truth,train_254.png,HL:train_254.png,,,,,pilot_AI_preselection,at an urban square.；the picture is taken in a park；in the lawn. || he is reading a book.；the person is lying down and reading a book；he is listening to music and  reading the book. || he wants to spend time.；the person is relaxing；to relax himself in nature. || A park bench with a man laying and reading on it.；A  person lying on a park bench listening to headphones and reading a book；A man laying on top of a blue bench.；a person laying on a bench reading a book；A man lays on a bench reading a book wearing headphones.,,hl_dataset_export/train_images,train_254.png,final_selection_1800/images/hl/PHL1800_HL_0008.png,6d50a9eebca4590e087a8586845c11c11631e189d44cec57fa0075f6dc151f97,c66eced4e4c585ea,640,354,PNG,445533,7.3985,59.0761,24.2971,17.4736,100.0,book|law|nature|read|self|time,retained_after_visual_and_file_audit_from_existing_100_image_pilot,none_or_low,false,source_dataset_terms_review_required,PILOT_HL_0008,AI_audited_selected_pending_two_independent_human_reviews
PHL1800_HL_0009,HL Dataset,positive,time_mortality,train_8558.png,HL:train_8558.png,,,,,pilot_AI_preselection,in a road；in a museum；at a park. || they are skating；they are skating；two boys are skateboarding while three others watch. || they are in game；they are on a holiday；they have some free time. || A bunch of guys standing around a statue with face.；Group of young men skate boarding around a bust.；Some men standing by a sculpture of a head.；Skateboarders on the concrete pavement of a building courtyard with a large bust of a man.；A group of guys are looking towards a statue. ,,hl_dataset_export/train_images,train_8558.png,final_selection_1800/images/hl/PHL1800_HL_0009.png,27cda6eec17a267f608b4bc29035763a694b91fa38c71c7087104e29fb9fb610,2240c5c4cdc3c2c2,640,387,PNG,480368,7.5641,56.6918,21.2504,17.2987,100.0,court|free|museum|road|statue|time|war|watch,retained_after_visual_and_file_audit_from_existing_100_image_pilot,none_or_low,false,source_dataset_terms_review_required,PILOT_HL_0009,AI_audited_selected_pending_two_independent_human_reviews
PHL1800_HL_0010,HL Dataset,positive,freedom_constraint,train_2665.png,HL:train_2665.png,,,,,pilot_AI_preselection,on the main avenue of a big city；the picture is taken in a protest.；in a road || people are protesting；the people are protesting by holding wordings against the government.；they are shouting || people are dissatisfied with government decisions；the people are protesting to stop cutting their wages.；they are on their protest || a number of people holding signs close together；A large protest I taking place against the government cuts in spending.；A picture of people protesting in front of a large statue.；A large crowd of protestors carry signs and banners.；A group of people hold up protests signs as an amusement ride stands in the distance.,,hl_dataset_export/train_images,train_2665.png,final_selection_1800/images/hl/PHL1800_HL_0010.png,fc53a0cb9fa162c136045a78e39a6a62d70c14f1de65a427bf85420d2fe50170,6c6313a9d4d6c6c6,640,480,PNG,612296,7.5875,83.3477,34.2247,19.5527,100.0,crowd|decision|protest|road|statue|together,retained_after_visual_and_file_audit_from_existing_100_image_pilot,none_or_low,false,source_dataset_terms_review_required,PILOT_HL_0010,AI_audited_selected_pending_two_independent_human_reviews
