severity,code,annotation_item_id,field,detail,deterministically_repairable
medium,within_axis_near_duplicate,F1548,captions.action,References 1 and 2 have token Jaccard 1.00.,False
medium,cross_image_exact_reuse,F0132,captions.object,The same normalized sentence appears in 6 images.,False
medium,cross_image_exact_reuse,F0356,captions.object,The same normalized sentence appears in 6 images.,False
medium,cross_image_exact_reuse,F0386,captions.object,The same normalized sentence appears in 6 images.,False
medium,cross_image_exact_reuse,F0932,captions.object,The same normalized sentence appears in 6 images.,False
medium,cross_image_exact_reuse,F1389,captions.object,The same normalized sentence appears in 6 images.,False
medium,cross_image_exact_reuse,F1641,captions.object,The same normalized sentence appears in 6 images.,False
medium,cross_image_exact_reuse,F0129,captions.object,The same normalized sentence appears in 10 images.,False
medium,cross_image_exact_reuse,F0292,captions.object,The same normalized sentence appears in 10 images.,False
medium,cross_image_exact_reuse,F1019,captions.object,The same normalized sentence appears in 10 images.,False
medium,cross_image_exact_reuse,F1159,captions.object,The same normalized sentence appears in 10 images.,False
medium,cross_image_exact_reuse,F1243,captions.object,The same normalized sentence appears in 10 images.,False
medium,cross_image_exact_reuse,F1515,captions.object,The same normalized sentence appears in 10 images.,False
medium,cross_image_exact_reuse,F1577,captions.object,The same normalized sentence appears in 10 images.,False
medium,cross_image_exact_reuse,F1716,captions.object,The same normalized sentence appears in 10 images.,False
medium,cross_image_exact_reuse,F1746,captions.object,The same normalized sentence appears in 10 images.,False
medium,cross_image_exact_reuse,F1773,captions.object,The same normalized sentence appears in 10 images.,False
