concept_id,concept,evidence_tier,neighbor_source,neighbor_rank,neighbor_id,neighbor_concept,neighbor_subdomain,similarity_score,shared_axis,shared_symbolic_keywords,concept_only_visual_patterns,neighbor_only_visual_patterns,concept_grounding_rule,neighbor_grounding_rule,human_discrimination_rule,reviewer_id
PHC-055,Death (Plato),A_core_recommended,same_axis_retrieval,1,PHC-066,Being-toward-Death (Heidegger),Identity & Persistence,,time_mortality,,closing book;extinguished candle;flatlining ecg;sunset's last moment,candle burning low;countdown clock;sandglass running out;sunset afterglow,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,,
PHC-055,Death (Plato),A_core_recommended,same_axis_retrieval,2,PHC-080,Time (Aristotle),"Time, Space & Change",,time_mortality,,closing book;extinguished candle;flatlining ecg;sunset's last moment,calendar leaf turning;hourglass sand;pendulum swing;rushing river,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,,
PHC-055,Death (Plato),A_core_recommended,same_subdomain,3,PHC-056,Definition of Death (medical philosophy),Identity & Persistence,0.040,,,closing book;extinguished candle;flatlining ecg;sunset's last moment,boundary-stone;legal signing moment;legislative threshold;medical monitor zero,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,,
PHC-055,Death (Plato),A_core_recommended,same_subdomain,4,PHC-054,Animalism (theory of personal identity),Identity & Persistence,0.000,,,closing book;extinguished candle;flatlining ecg;sunset's last moment,a continuity record linking one human animal across time;bodily persistence contrasted with a change of memories or social identity;the same living organism tracked across changes of role or appearance,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.",,
PHC-055,Death (Plato),A_core_recommended,same_subdomain,5,PHC-057,Diachronic Identity (Hume),Identity & Persistence,0.000,,,closing book;extinguished candle;flatlining ecg;sunset's last moment,city's continuity;family lineage;old tree's continuous growth;same river over time,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.",,
PHC-055,Death (Plato),A_core_recommended,lexical_overlap,6,PHC-379,Suicide (Hume),Applied & Professional Ethics,0.368,,,closing book;sunset's last moment,falling curtain;last step at cliff,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,,
PHC-055,Death (Plato),A_core_recommended,lexical_overlap,7,PHC-383,Abortion Ethics (Thomson),Bioethics & Health Ethics,0.087,,,closing book;extinguished candle;flatlining ecg;sunset's last moment,blurred boundary;life on both scale-pans;pending verdict;unfolding embryo,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,,
PHC-066,Being-toward-Death (Heidegger),A_core_recommended,same_axis_retrieval,1,PHC-055,Death (Plato),Identity & Persistence,,time_mortality,,candle burning low;countdown clock;sandglass running out;sunset afterglow,closing book;extinguished candle;flatlining ecg;sunset's last moment,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,,
PHC-066,Being-toward-Death (Heidegger),A_core_recommended,same_axis_retrieval,2,PHC-080,Time (Aristotle),"Time, Space & Change",,time_mortality,,candle burning low;countdown clock;sandglass running out;sunset afterglow,calendar leaf turning;hourglass sand;pendulum swing;rushing river,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,,
PHC-066,Being-toward-Death (Heidegger),A_core_recommended,same_subdomain,3,PHC-054,Animalism (theory of personal identity),Identity & Persistence,0.000,,,candle burning low;countdown clock;sandglass running out;sunset afterglow,a continuity record linking one human animal across time;bodily persistence contrasted with a change of memories or social identity;the same living organism tracked across changes of role or appearance,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.",,
