blind_id,annotation_item_id,sample_id,file_name,image_path,split,group_id,source,track,benchmark_axis_id,ai_candidate_concept_ids
F0024,F0024,PHL1800_HL_0019,PHL1800_HL_0019.png,images/PHL1800_HL_0019.png,calibration,HL:train_2532.png,HL Dataset,positive,ethics_responsibility,PHC-060;PHC-134;PHC-136;PHC-161;PHC-192;PHC-203;PHC-315;PHC-345;PHC-363;PHC-364;PHC-382;PHC-417;PHC-418;PHC-440;PHC-481;PHC-483;PHC-490;PHC-498
F0040,F0040,PHL1800_HL_0373,PHL1800_HL_0373.png,images/PHL1800_HL_0373.png,calibration,HL:train_4839.png,HL Dataset,positive,social_existence,PHC-134;PHC-136;PHC-161;PHC-192;PHC-203;PHC-417;PHC-418;PHC-440;PHC-483
F0069,F0069,PHL1800_MM_0052,PHL1800_MM_0052.jpg,images/PHL1800_MM_0052.jpg,calibration,MM:seed:150,MM-MoralBench,positive,ethics_responsibility,PHC-060;PHC-114;PHC-133;PHC-134;PHC-136;PHC-317;PHC-363;PHC-364;PHC-440
F0079,F0079,PHL1800_HAIV_0027,PHL1800_HAIV_0027.png,images/PHL1800_HAIV_0027.png,calibration,HAIV:Bizzoni:adam did not understand the root of the crisis,HAIVMet,positive,power_conflict,PHC-055;PHC-060;PHC-066;PHC-080;PHC-134;PHC-136;PHC-161;PHC-192;PHC-203;PHC-363;PHC-364;PHC-417;PHC-418;PHC-440;PHC-483
F0095,F0095,PHL1800_IRFL_0159,PHL1800_IRFL_0159.jpg,images/PHL1800_IRFL_0159.jpg,calibration,IRFL:under lock and key,IRFL,positive,freedom_constraint,PHC-060;PHC-114;PHC-133;PHC-134;PHC-136;PHC-161;PHC-192;PHC-203;PHC-317;PHC-363;PHC-364;PHC-417;PHC-418;PHC-440;PHC-481;PHC-483;PHC-490;PHC-498
F0102,F0102,PHL1800_HL_0224,PHL1800_HL_0224.png,images/PHL1800_HL_0224.png,calibration,HL:train_299.png,HL Dataset,positive,ethics_responsibility,PHC-060;PHC-134;PHC-136;PHC-161;PHC-192;PHC-203;PHC-363;PHC-364;PHC-407;PHC-440;PHC-477;PHC-481;PHC-490;PHC-498;PHC-503
F0130,F0130,PHL1800_HL_0051,PHL1800_HL_0051.png,images/PHL1800_HL_0051.png,calibration,HL:train_7516.png,HL Dataset,positive,time_mortality,PHC-055;PHC-066;PHC-080;PHC-134;PHC-136;PHC-440;PHC-481;PHC-490;PHC-498
F0132,F0132,PHL1800_HAIV_0273,PHL1800_HAIV_0273.png,images/PHL1800_HAIV_0273.png,calibration,"HAIV:FLUTE:life is a mere dream, a fleeting shadow on a cloudy day",HAIVMet,positive,identity_appearance,PHC-055;PHC-060;PHC-066;PHC-080;PHC-114;PHC-133;PHC-134;PHC-136;PHC-317;PHC-363;PHC-364;PHC-417;PHC-418;PHC-440;PHC-483
F0144,F0144,PHL1800_IRFL_0207,PHL1800_IRFL_0207.jpg,images/PHL1800_IRFL_0207.jpg,calibration,IRFL:fly the coop,IRFL,positive,freedom_constraint,PHC-055;PHC-060;PHC-066;PHC-080;PHC-114;PHC-133;PHC-134;PHC-136;PHC-161;PHC-192;PHC-203;PHC-317;PHC-363;PHC-364;PHC-417;PHC-418;PHC-440;PHC-483
F0158,F0158,PHL1800_IRFL_0351,PHL1800_IRFL_0351.jpg,images/PHL1800_IRFL_0351.jpg,calibration,IRFL:as strong as an ox,IRFL,positive,identity_appearance,PHC-055;PHC-060;PHC-066;PHC-080;PHC-363;PHC-364;PHC-407;PHC-417;PHC-418;PHC-477;PHC-483;PHC-503
F0184,F0184,PHL1800_HL_0524,PHL1800_HL_0524.png,images/PHL1800_HL_0524.png,calibration,HL:test_1418.png,HL Dataset,boundary,insufficient_evidence,PHC-055;PHC-060;PHC-066;PHC-080;PHC-114;PHC-133;PHC-134;PHC-136;PHC-317;PHC-363;PHC-364;PHC-407;PHC-417;PHC-418;PHC-440;PHC-477;PHC-483;PHC-503
F0191,F0191,PHL1800_MM_0118,PHL1800_MM_0118.jpg,images/PHL1800_MM_0118.jpg,calibration,MM:seed:509,MM-MoralBench,positive,ethics_responsibility,PHC-055;PHC-060;PHC-066;PHC-080;PHC-114;PHC-133;PHC-134;PHC-136;PHC-315;PHC-317;PHC-345;PHC-363;PHC-364;PHC-382;PHC-440
F0208,F0208,PHL1800_HAIV_0335,PHL1800_HAIV_0335.png,images/PHL1800_HAIV_0335.png,calibration,HAIV:CoPoet:my soul is like a bird with broken wings,HAIVMet,positive,identity_appearance,PHC-060;PHC-134;PHC-136;PHC-161;PHC-192;PHC-203;PHC-315;PHC-345;PHC-363;PHC-364;PHC-382;PHC-417;PHC-418;PHC-440;PHC-483
F0230,F0230,PHL1800_HL_0082,PHL1800_HL_0082.png,images/PHL1800_HL_0082.png,calibration,HL:train_936.png,HL Dataset,positive,freedom_constraint,PHC-114;PHC-133;PHC-134;PHC-136;PHC-161;PHC-192;PHC-203;PHC-315;PHC-317;PHC-345;PHC-382;PHC-417;PHC-418;PHC-440;PHC-481;PHC-483;PHC-490;PHC-498
F0234,F0234,PHL1800_IRFL_0170,PHL1800_IRFL_0170.jpg,images/PHL1800_IRFL_0170.jpg,calibration,IRFL:with a will,IRFL,positive,social_existence,PHC-055;PHC-060;PHC-066;PHC-080;PHC-114;PHC-133;PHC-134;PHC-136;PHC-289;PHC-317;PHC-361;PHC-363;PHC-364;PHC-417;PHC-418;PHC-440;PHC-483
F0239,F0239,PHL1800_IRFL_0050,PHL1800_IRFL_0050.jpg,images/PHL1800_IRFL_0050.jpg,calibration,IRFL:rub someone the wrong way,IRFL,positive,ethics_responsibility,PHC-060;PHC-134;PHC-136;PHC-161;PHC-192;PHC-203;PHC-315;PHC-345;PHC-363;PHC-364;PHC-382;PHC-417;PHC-418;PHC-440;PHC-481;PHC-483;PHC-490;PHC-498
