sample_id,annotation_item_id,file_name,source,track,source_id,reference_coverage,reference_jaccard,semantic_risk_reasons
PHL1800_HL_0493,F1756,PHL1800_HL_0493.png,HL Dataset,positive,test_625.png,0.0645,0.0116,very_low_overlap_with_HL_human_captions
PHL1800_HL_0400,F0580,PHL1800_HL_0400.png,HL Dataset,positive,train_10796.png,0.0732,0.0172,very_low_overlap_with_HL_human_captions
PHL1800_HL_0458,F0481,PHL1800_HL_0458.png,HL Dataset,positive,train_2641.png,0.0811,0.0147,very_low_overlap_with_HL_human_captions;precise_count_claim
PHL1800_HL_0061,F1698,PHL1800_HL_0061.png,HL Dataset,positive,train_6757.png,0.1081,0.0229,very_low_overlap_with_HL_human_captions
PHL1800_HL_0368,F0753,PHL1800_HL_0368.png,HL Dataset,positive,train_8868.png,0.1136,0.0333,very_low_overlap_with_HL_human_captions
PHL1800_HL_0278,F1717,PHL1800_HL_0278.png,HL Dataset,positive,train_13030.png,0.1154,0.019,very_low_overlap_with_HL_human_captions
PHL1800_HL_0137,F0076,PHL1800_HL_0137.png,HL Dataset,positive,train_4339.png,0.1212,0.0241,very_low_overlap_with_HL_human_captions;specific_OCR_claim
PHL1800_HL_0027,F1789,PHL1800_HL_0027.png,HL Dataset,positive,train_4300.png,0.125,0.0267,very_low_overlap_with_HL_human_captions;explicit_visual_uncertainty
PHL1800_HL_0067,F1192,PHL1800_HL_0067.png,HL Dataset,positive,train_6043.png,0.125,0.0338,very_low_overlap_with_HL_human_captions;explicit_visual_uncertainty
PHL1800_HL_0068,F0665,PHL1800_HL_0068.png,HL Dataset,positive,train_5140.png,0.125,0.0337,very_low_overlap_with_HL_human_captions;explicit_visual_uncertainty
PHL1800_HL_0164,F0061,PHL1800_HL_0164.png,HL Dataset,positive,test_1150.png,0.125,0.0227,very_low_overlap_with_HL_human_captions
PHL1800_HL_0165,F1068,PHL1800_HL_0165.png,HL Dataset,positive,train_2396.png,0.125,0.0221,very_low_overlap_with_HL_human_captions;explicit_visual_uncertainty
PHL1800_HL_0335,F0013,PHL1800_HL_0335.png,HL Dataset,positive,train_1760.png,0.125,0.0263,very_low_overlap_with_HL_human_captions
PHL1800_HL_0369,F0681,PHL1800_HL_0369.png,HL Dataset,positive,train_9040.png,0.125,0.0268,very_low_overlap_with_HL_human_captions;specific_OCR_claim;explicit_visual_uncertainty
PHL1800_HL_0443,F0037,PHL1800_HL_0443.png,HL Dataset,positive,train_6177.png,0.125,0.0292,very_low_overlap_with_HL_human_captions;explicit_visual_uncertainty
PHL1800_HL_0417,F0010,PHL1800_HL_0417.png,HL Dataset,positive,train_13120.png,0.1282,0.0248,very_low_overlap_with_HL_human_captions
PHL1800_HL_0565,F0362,PHL1800_HL_0565.png,HL Dataset,boundary,train_8669.png,0.129,0.027,very_low_overlap_with_HL_human_captions
PHL1800_HL_0572,F0064,PHL1800_HL_0572.png,HL Dataset,boundary,train_4400.png,0.129,0.025,very_low_overlap_with_HL_human_captions;explicit_visual_uncertainty
PHL1800_HL_0292,F1092,PHL1800_HL_0292.png,HL Dataset,positive,train_11026.png,0.1321,0.0385,very_low_overlap_with_HL_human_captions
PHL1800_HL_0153,F1210,PHL1800_HL_0153.png,HL Dataset,positive,train_9942.png,0.1333,0.0235,very_low_overlap_with_HL_human_captions;explicit_visual_uncertainty
PHL1800_HL_0223,F0905,PHL1800_HL_0223.png,HL Dataset,positive,train_9727.png,0.1333,0.0323,very_low_overlap_with_HL_human_captions;precise_count_claim;explicit_visual_uncertainty
