batch_id,phase,wave,position_in_batch,annotation_item_id
B001,pilot,W0,1,F0019
B001,pilot,W0,2,F0024
B001,pilot,W0,3,F0049
B001,pilot,W0,4,F0057
B001,pilot,W0,5,F0058
B001,pilot,W0,6,F0059
B001,pilot,W0,7,F0065
B001,pilot,W0,8,F0071
B001,pilot,W0,9,F0079
B001,pilot,W0,10,F0086
B001,pilot,W0,11,F0118
B001,pilot,W0,12,F0142
B001,pilot,W0,13,F0193
B001,pilot,W0,14,F0204
B001,pilot,W0,15,F0217
B001,pilot,W0,16,F0221
B001,pilot,W0,17,F0249
B001,pilot,W0,18,F0253
B001,pilot,W0,19,F0291
B001,pilot,W0,20,F0302
B001,pilot,W0,21,F0351
B001,pilot,W0,22,F0358
B001,pilot,W0,23,F0387
B001,pilot,W0,24,F0408
B001,pilot,W0,25,F0450
B001,pilot,W0,26,F0471
B001,pilot,W0,27,F0473
B001,pilot,W0,28,F0474
B001,pilot,W0,29,F0476
B001,pilot,W0,30,F0517
B001,pilot,W0,31,F0533
B001,pilot,W0,32,F0577
B001,pilot,W0,33,F0655
B001,pilot,W0,34,F0663
B001,pilot,W0,35,F0686
B001,pilot,W0,36,F0690
B001,pilot,W0,37,F0700
B001,pilot,W0,38,F0708
B001,pilot,W0,39,F0711
B001,pilot,W0,40,F0784
B001,pilot,W0,41,F0844
B001,pilot,W0,42,F0860
B001,pilot,W0,43,F0869
B001,pilot,W0,44,F0870
B001,pilot,W0,45,F0883
B001,pilot,W0,46,F0891
B001,pilot,W0,47,F0925
B001,pilot,W0,48,F0931
B001,pilot,W0,49,F0932
B001,pilot,W0,50,F0936
B002,pilot,W0,1,F0939
B002,pilot,W0,2,F0963
B002,pilot,W0,3,F1000
B002,pilot,W0,4,F1038
B002,pilot,W0,5,F1063
B002,pilot,W0,6,F1086
B002,pilot,W0,7,F1127
B002,pilot,W0,8,F1130
B002,pilot,W0,9,F1131
B002,pilot,W0,10,F1133
B002,pilot,W0,11,F1183
B002,pilot,W0,12,F1202
B002,pilot,W0,13,F1204
B002,pilot,W0,14,F1219
B002,pilot,W0,15,F1265
B002,pilot,W0,16,F1267
B002,pilot,W0,17,F1269
B002,pilot,W0,18,F1281
B002,pilot,W0,19,F1289
B002,pilot,W0,20,F1313
B002,pilot,W0,21,F1319
B002,pilot,W0,22,F1343
B002,pilot,W0,23,F1353
B002,pilot,W0,24,F1367
B002,pilot,W0,25,F1373
B002,pilot,W0,26,F1385
B002,pilot,W0,27,F1387
B002,pilot,W0,28,F1388
B002,pilot,W0,29,F1395
B002,pilot,W0,30,F1405
B002,pilot,W0,31,F1453
B002,pilot,W0,32,F1454
B002,pilot,W0,33,F1483
B002,pilot,W0,34,F1487
B002,pilot,W0,35,F1497
B002,pilot,W0,36,F1505
B002,pilot,W0,37,F1506
B002,pilot,W0,38,F1521
B002,pilot,W0,39,F1591
B002,pilot,W0,40,F1592
B002,pilot,W0,41,F1609
B002,pilot,W0,42,F1637
B002,pilot,W0,43,F1642
B002,pilot,W0,44,F1670
B002,pilot,W0,45,F1719
B002,pilot,W0,46,F1722
B002,pilot,W0,47,F1745
B002,pilot,W0,48,F1773
B002,pilot,W0,49,F1789
B002,pilot,W0,50,F1800
B003,production,W1,1,F0001
B003,production,W1,2,F0002
B003,production,W1,3,F0003
B003,production,W1,4,F0004
B003,production,W1,5,F0005
B003,production,W1,6,F0006
B003,production,W1,7,F0007
