annotation_item_id,reason,changed_fields,backup
F0031,Added an explicit insufficient-evidence reading to a boundary-track item whose three readings were all asserted as plausible.,philosophy_interpretations[2] | provenance.audit_revisions,audit/annotation_quality_v1/original_items_before_repair/F0031.json
F0048,Added an explicit insufficient-evidence reading to a boundary-track item whose three readings were all asserted as plausible.,philosophy_interpretations[2] | provenance.audit_revisions,audit/annotation_quality_v1/original_items_before_repair/F0048.json
F0135,Added an explicit insufficient-evidence reading to a boundary-track item whose three readings were all asserted as plausible.,philosophy_interpretations[2] | provenance.audit_revisions,audit/annotation_quality_v1/original_items_before_repair/F0135.json
F0155,Added an explicit insufficient-evidence reading to a boundary-track item whose three readings were all asserted as plausible.,philosophy_interpretations[2] | provenance.audit_revisions,audit/annotation_quality_v1/original_items_before_repair/F0155.json
F0175,Added an explicit insufficient-evidence reading to a boundary-track item whose three readings were all asserted as plausible.,philosophy_interpretations[2] | provenance.audit_revisions,audit/annotation_quality_v1/original_items_before_repair/F0175.json
F0184,Added an explicit insufficient-evidence reading to a boundary-track item whose three readings were all asserted as plausible.,philosophy_interpretations[2] | provenance.audit_revisions,audit/annotation_quality_v1/original_items_before_repair/F0184.json
F0318,Added an explicit insufficient-evidence reading to a boundary-track item whose three readings were all asserted as plausible.,philosophy_interpretations[2] | provenance.audit_revisions,audit/annotation_quality_v1/original_items_before_repair/F0318.json
F0383,Added an explicit insufficient-evidence reading to a boundary-track item whose three readings were all asserted as plausible.,philosophy_interpretations[2] | provenance.audit_revisions,audit/annotation_quality_v1/original_items_before_repair/F0383.json
F0571,Corrected a confirmed cross-image semantic mismatch after direct image inspection.,target_subject | captions | rationale_support | text_dependency | philosophy_interpretations | method | review | provenance.audit_revision,audit/annotation_quality_v1/original_items_before_repair/F0571.json
F0617,Added an explicit insufficient-evidence reading to a boundary-track item whose three readings were all asserted as plausible.,philosophy_interpretations[2] | provenance.audit_revisions,audit/annotation_quality_v1/original_items_before_repair/F0617.json
F0620,Added an explicit insufficient-evidence reading to a boundary-track item whose three readings were all asserted as plausible.,philosophy_interpretations[2] | provenance.audit_revisions,audit/annotation_quality_v1/original_items_before_repair/F0620.json
F0659,Added an explicit insufficient-evidence reading to a boundary-track item whose three readings were all asserted as plausible.,philosophy_interpretations[2] | provenance.audit_revisions,audit/annotation_quality_v1/original_items_before_repair/F0659.json
F0793,Corrected a confirmed cross-image semantic mismatch after direct image inspection.,target_subject | captions | rationale_support | text_dependency | philosophy_interpretations | method | review | provenance.audit_revision,audit/annotation_quality_v1/original_items_before_repair/F0793.json
F0836,Added an explicit insufficient-evidence reading to a boundary-track item whose three readings were all asserted as plausible.,philosophy_interpretations[2] | provenance.audit_revisions,audit/annotation_quality_v1/original_items_before_repair/F0836.json
